127.0.0.1 - - [22/Nov/2020:09:45:26 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:28 +0700] "GET /laptrinh/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/trang-chu HTTP/1.1" 200 31974
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/v-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/vietteltext-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/banner1-back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/Picture/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/banner1-front.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/Picture/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/Picture/16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/Picture/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/Picture/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/Picture/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/Picture/15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/Picture/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/zalo-seeklogo.com.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/Picture/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:09:45:30 +0700] "GET /laptrinh/img/sprite.svg HTTP/1.1" 304 -
